real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.839, 1.931, 1.403, 23.709%, 27.343%
1.144, 1.118, 1.064, 6.993%, 4.83%
0.922, 0.934, 1.403, 52.169%, 50.214%
1.073, 1.078, 1.078, 0.466%, 0.0%
0.925, 0.934, 1.403, 51.676%, 50.214%
1.188, 1.195, 1.195, 0.589%, 0.0%
1.23, 1.224, 1.064, 13.496%, 13.072%
1.178, 1.195, 0.989, 16.044%, 17.238%
1.047, 1.045, 1.195, 14.136%, 14.354%
1.144, 1.118, 1.195, 4.458%, 6.887%
1.0, 1.003, 1.403, 40.3%, 39.88%
1.013, 1.003, 1.403, 38.5%, 39.88%
1.148, 1.118, 1.403, 22.213%, 25.492%
0.969, 0.989, 1.403, 44.788%, 41.86%
1.056, 1.061, 1.403, 32.86%, 32.234%
1.051, 1.045, 1.403, 33.492%, 34.258%
0.91, 0.934, 1.403, 54.176%, 50.214%
1.331, 1.341, 1.403, 5.409%, 4.623%
0.954, 0.934, 1.403, 47.065%, 50.214%
0.889, 0.934, 1.064, 19.685%, 13.919%
1.153, 1.118, 1.064, 7.719%, 4.83%
1.034, 1.045, 1.403, 35.687%, 34.258%
0.937, 0.934, 1.064, 13.554%, 13.919%
0.98, 0.989, 1.403, 43.163%, 41.86%
0.952, 0.934, 1.045, 9.769%, 11.884%
0.941, 0.934, 1.195, 26.993%, 27.944%
1.062, 1.061, 1.064, 0.188%, 0.283%
1.191, 1.195, 1.195, 0.336%, 0.0%
1.144, 1.118, 1.403, 22.64%, 25.492%
0.778, 0.844, 1.403, 80.334%, 66.232%
1.038, 1.045, 1.078, 3.854%, 3.158%
0.934, 0.934, 1.064, 13.919%, 13.919%
1.183, 1.195, 1.403, 18.597%, 17.406%
Average error from real rotations: 24.211%
Average error from expected rotations: 23.573%
