real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.576, 1.331, 1.183, 24.937%, 11.119%
0.944, 0.941, 0.831, 11.97%, 11.69%
1.931, 1.945, 1.183, 38.736%, 39.177%
1.096, 1.099, 0.889, 18.887%, 19.108%
0.934, 0.934, 1.183, 26.66%, 26.66%
1.577, 1.331, 1.127, 28.535%, 15.327%
1.099, 1.099, 0.853, 22.384%, 22.384%
1.176, 1.178, 1.034, 12.075%, 12.224%
1.341, 1.331, 1.048, 21.849%, 21.262%
0.829, 0.831, 1.183, 42.702%, 42.359%
1.003, 1.0, 1.127, 12.363%, 12.7%
1.185, 1.185, 1.945, 64.135%, 64.135%
1.061, 1.062, 1.048, 1.225%, 1.318%
1.601, 1.839, 1.127, 29.606%, 38.717%
1.045, 1.047, 0.853, 18.373%, 18.529%
1.187, 1.188, 0.889, 25.105%, 25.168%
0.844, 0.853, 0.853, 1.066%, 0.0%
1.085, 1.084, 1.127, 3.871%, 3.967%
1.224, 1.227, 1.127, 7.925%, 8.15%
1.044, 1.047, 1.201, 15.038%, 14.709%
1.118, 1.127, 1.127, 0.805%, 0.0%
0.962, 0.964, 1.127, 17.152%, 16.909%
1.195, 1.191, 1.201, 0.502%, 0.84%
1.13, 1.127, 1.127, 0.265%, 0.0%
1.078, 1.073, 1.183, 9.74%, 10.252%
1.145, 1.144, 0.853, 25.502%, 25.437%
1.403, 1.331, 1.183, 15.681%, 11.119%
0.997, 1.0, 1.127, 13.039%, 12.7%
1.064, 1.062, 1.201, 12.876%, 13.089%
1.078, 1.073, 1.201, 11.41%, 11.929%
0.989, 0.993, 1.945, 96.663%, 95.871%
1.084, 1.084, 0.853, 21.31%, 21.31%
1.295, 1.318, 1.127, 12.973%, 14.492%
1.104, 1.101, 1.201, 8.786%, 9.083%
1.197, 1.201, 1.127, 5.848%, 6.162%
0.965, 0.964, 1.127, 16.788%, 16.909%
Average error from real rotations: 19.355%
Average error from expected rotations: 18.745%
